"Molecule ChEMBL ID","Molecule Name","Molecular Weight","AlogP","Smiles","hERG_IC50_nM","Assay Type","Target Name","Document Year"
"CHEMBL1224698",,"396.56","4.37","C=CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1",100,"B","HERG",2010
"CHEMBL3785560",,"382.94","4.04","Oc1ccc(Cl)c2c1CNC(CN1CCC3(CCc4ccccc43)CC1)C2",1730,"B","HERG",2016
"CHEMBL2171013",,"540.51","5.05","Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1",316.23,"B","HERG",2012
"CHEMBL2170070",,"365.48","3.82","Cc1cc(OCCN2C[C@@H](C)O[C@@H](C)C2)nn1-c1ccc2ccccc2c1",7400,"B","HERG",2012
"CHEMBL2180031",,"422.53","4.78","CC#Cc1cncc(-c2cccc(C3(c4cc(C)c(OC)c(C)c4)N=C(C)C(N)=N3)c2)c1",17500,"B","HERG",2012
"CHEMBL3357999",,"463.4","3.18","C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccc(C#N)cc2F)cn1",11000,"B","HERG",2014
"CHEMBL3221531",,"515.36","2.28","Cc1cnc(NC(=O)[C@H](CN2CC(O)C2)Oc2ncnc3c2cnn3-c2c(Cl)cccc2Cl)cn1",62000,"B","HERG",2013
"CHEMBL128007",,"523.46","4.81","CN(C)CCN1C(=O)C(NC(=O)CCc2ccc(Cl)cc2Cl)N=C(c2ccccc2)c2ccccc21",100,"F","HERG",1997
"CHEMBL2179676",,"445.01","3.15","Cl.Cn1cc2c(OCC3CCN(CCN4CCOCC4)CC3)nc3ccccc3c2c1",1220,"B","HERG",2012
"CHEMBL850","SPARFLOXACIN","392.41","2.08","C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1",18197.01,"B","HERG",2003
"CHEMBL2181298",,"426.44","4.06","Nc1ncc(-c2ccc(C(=O)N3CCNCC3)cc2)cc1-c1ccc(C(F)(F)F)cc1",5500,"B","HERG",2012
"CHEMBL2181495",,"396.47","2.84","COc1ccc(-c2cc(-c3ccc(S(=O)(=O)NC4CC4)cc3)cnc2N)cn1",2100,"B","HERG",2012
"CHEMBL4552140",,"372.43","3.3","C[C@@H](Nc1c(C(N)=O)cnc2ccc(-c3cccnc3)cc12)c1ccn(C)n1",2800,"B","HERG",2016
"CHEMBL1346","DARIFENACIN","426.56","3.96","NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1",1584.89,"F","HERG",2014
"CHEMBL584","NELFINAVIR","567.8","4.75","Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C",31622776.6,"F","HERG",2014
