Transformation,Negative_impact,Neutral_impact,Positive_impact
*c1cccc(F)c1>>*c1ccccc1,24,4,72
*c1cccc(F)c1>>*c1ccccc1F,28.57,7.14,64.29
*c1cccc(OC)c1>>*c1ccc(OC)cc1,53.33,6.67,40
*c1cccc(OC)c1>>*c1cccc(F)c1,36.36,9.09,54.55
*c1cccc(OC)c1>>*c1ccccc1,45.45,0,54.55
*c1cccc2nc(C)ccc12>>*c1ocnc1C,15.38,3.85,80.77
*c1ccccc1>>*C,32.14,0,67.86
*c1ccccc1>>*C(C)C,20,0,80
*c1ccccc1>>*CC,35.71,0,64.29
*c1ccccc1>>*CCC,30,0,70
*c1ccccc1>>*Cc1ccccc1,58.82,0,41.18
*c1ccccc1>>*c1ccc(C(F)(F)F)cc1,93.75,0,6.25
*c1ccccc1>>*c1ccc(C)cc1,82.35,0,17.65
*c1ccccc1>>*c1ccc(Cl)cc1,85.71,0,14.29
*c1ccccc1>>*c1ccc(F)cc1,76.32,7.89,15.79
*c1ccccc1>>*c1ccc(OC)cc1,69.57,8.7,21.74
*c1ccccc1>>*c1cccc(Cl)c1,80,0,20
*c1ccccc1>>*c1cccc(F)c1,72,4,24
*c1ccccc1>>*c1cccc(OC)c1,54.55,0,45.45
*c1ccccc1>>*c1ccccc1Cl,90,0,10
*c1ccccc1>>*c1ccccc1F,40,0,60
*c1ccccc1>>*c1ccccn1,9.52,14.29,76.19
*c1ccccc1>>*c1cccnc1,6.25,0,93.75
*c1ccccc1Cl>>*c1ccccc1,10,0,90
*c1ccccc1F>>*c1ccc(F)cc1,71.43,0,28.57
*c1ccccc1F>>*c1cccc(F)c1,64.29,7.14,28.57
*c1ccccc1F>>*c1ccccc1,60,0,40
*c1ccccc1OC>>*c1ccc(OC)cc1,54.55,18.18,27.27
*c1ccccn1>>*c1ccc(F)cc1,90,10,0
*c1ccccn1>>*c1ccc(F)cn1,70,0,30
*c1ccccn1>>*c1ccccc1,76.19,14.29,9.52
*c1ccccn1>>*c1cccnc1,60,0,40
*c1ccccn1>>*c1ccncc1,54.55,0,45.45
*c1ccccn1>>*c1cnccn1,10,0,90
*c1cccnc1>>*c1ccccc1,93.75,0,6.25
*c1cccnc1>>*c1ccccn1,40,0,60
*c1cccnc1>>*c1ccncc1,73.33,0,26.67
*c1ccncc1>>*c1ccccn1,45.45,0,54.55
*c1ccncc1>>*c1cccnc1,26.67,0,73.33
*c1cnccn1>>*c1ccccn1,90,0,10
*c1ocnc1C>>*c1cccc2nc(C)ccc12,80.77,3.85,15.38
